,bat,date,birthdate,capture.site,sex
209,d,3/18/16,NA,tole,female
210,d,4/8/16,NA,tole,female
211,d,5/20/16,NA,tole,female
212,d,5/21/16,NA,tole,female
72,d,7/7/19,NA,tole,female
73,d,7/29/19,NA,tole,female
74,d,7/30/19,NA,tole,female
75,d,8/9/19,NA,tole,female
649,daredevil,3/5/16,NA,tole,male
650,daredevil,3/6/16,NA,tole,male
193,dcd,5/15/16,NA,tole,female
194,dcd,6/13/16,NA,tole,female
192,dcd,7/13/17,NA,tole,female
196,dd,3/11/16,NA,tole,female
197,dd,3/12/16,NA,tole,female
198,dd,3/20/16,NA,tole,female
199,dd,3/21/16,NA,tole,female
200,dd,4/11/16,NA,tole,female
201,dd,5/11/16,NA,tole,female
202,dd,5/12/16,NA,tole,female
195,ddd,7/14/17,12/15/16,captive,male
203,ddld,11/11/16,7/20/16,captive,female
204,ddld,11/12/16,7/20/16,captive,female
207,desi,11/20/14,1/21/03,zoo,male
215,dos,9/13/16,NA,las.pavas,female
216,dos,8/31/17,NA,las.pavas,female
224,dr,8/13/17,7/3/16,captive,female
225,dr,8/22/17,7/3/16,captive,female
226,dr,8/23/17,7/3/16,captive,female
176,dr-strange,3/11/16,NA,tole,male
177,dr-strange,3/12/16,NA,tole,male
180,dr-strange,3/12/16,NA,tole,male
181,dr-strange,3/13/16,NA,tole,male
231,ds,3/12/16,NA,tole,female
232,ds,3/13/16,NA,tole,female
227,ds,3/23/16,NA,tole,female
228,ds,4/13/16,NA,tole,female
229,ds,5/24/16,NA,tole,female
230,ds,5/25/16,NA,tole,female
233,esther,8/15/19,NA,tole,female
234,esther,8/16/19,NA,tole,female
235,esther,8/22/19,NA,tole,female
236,esther,8/23/19,NA,tole,female
237,esther,8/29/19,NA,tole,female
238,esther,8/30/19,NA,tole,female
239,esther,9/6/19,NA,tole,female
240,esther,9/7/19,NA,tole,female
241,esther,9/13/19,NA,tole,female
242,esther,9/14/19,NA,tole,female
243,esther,9/20/19,NA,tole,female
244,esther,9/21/19,NA,tole,female
245,esther,9/28/19,NA,tole,female
246,esther,10/4/19,NA,tole,female
247,esther,10/5/19,NA,tole,female
248,esther,10/11/19,NA,tole,female
249,esther,10/12/19,NA,tole,female
250,eve,9/14/16,NA,las.pavas,female
251,eve,9/15/16,NA,las.pavas,female
252,eve,8/28/17,NA,las.pavas,female
253,eve,8/29/17,NA,las.pavas,female
4,falcon,3/4/16,NA,tole,male
5,falcon,3/5/16,NA,tole,male
254,flapper,2/13/13,5/9/11,zoo,male
255,flapper,2/14/13,5/9/11,zoo,male
256,flapper,4/27/14,5/9/11,zoo,male
257,flapper,5/3/14,5/9/11,zoo,male
258,flapper,5/4/14,5/9/11,zoo,male
277,fran,7/10/19,NA,tole,female
278,fran,7/31/19,NA,tole,female
259,fran,8/14/19,NA,tole,female
260,fran,8/15/19,NA,tole,female
261,fran,8/21/19,NA,tole,female
262,fran,8/22/19,NA,tole,female
263,fran,8/28/19,NA,tole,female
264,fran,8/29/19,NA,tole,female
265,fran,9/5/19,NA,tole,female
266,fran,9/6/19,NA,tole,female
267,fran,9/12/19,NA,tole,female
268,fran,9/13/19,NA,tole,female
269,fran,9/19/19,NA,tole,female
270,fran,9/20/19,NA,tole,female
271,fran,9/26/19,NA,tole,female
272,fran,9/27/19,NA,tole,female
273,fran,10/3/19,NA,tole,female
274,fran,10/4/19,NA,tole,female
275,fran,10/10/19,NA,tole,female
276,fran,10/11/19,NA,tole,female
279,fuschia,11/21/14,7/15/06,zoo,male
280,gayle,8/17/19,NA,tole,female
281,gayle,8/18/19,NA,tole,female
282,gayle,8/24/19,NA,tole,female
283,gayle,8/25/19,NA,tole,female
284,gayle,8/31/19,NA,tole,female
285,gayle,9/1/19,NA,tole,female
286,gayle,9/8/19,NA,tole,female
287,gayle,9/9/19,NA,tole,female
288,gayle,9/15/19,NA,tole,female
289,gayle,9/16/19,NA,tole,female
290,gayle,9/22/19,NA,tole,female
291,gayle,9/23/19,NA,tole,female
292,gayle,9/29/19,NA,tole,female
293,gayle,9/30/19,NA,tole,female
294,gayle,10/6/19,NA,tole,female
295,gayle,10/7/19,NA,tole,female
296,gayle,10/13/19,NA,tole,female
297,gayle,10/14/19,NA,tole,female
298,gayle,10/16/19,NA,tole,female
299,gelfing,1/9/15,1/24/01,zoo,male
300,gelfing,1/10/15,1/24/01,zoo,male
573,green-arrow,3/7/16,NA,tole,male
574,green-arrow,3/8/16,NA,tole,male
301,gremlin,3/13/14,9/29/13,zoo,male
302,gremlin,3/14/14,9/29/13,zoo,male
303,gremlin,1/12/15,9/29/13,zoo,male
304,gremlin,1/13/15,9/29/13,zoo,male
305,helsing,11/23/14,1/1/98,zoo,male
324,hera,8/5/19,NA,tole,female
325,hera,8/6/19,NA,tole,female
306,hera,8/16/19,NA,tole,female
307,hera,8/17/19,NA,tole,female
308,hera,8/23/19,NA,tole,female
309,hera,8/24/19,NA,tole,female
310,hera,8/30/19,NA,tole,female
311,hera,8/31/19,NA,tole,female
312,hera,9/7/19,NA,tole,female
313,hera,9/8/19,NA,tole,female
314,hera,9/14/19,NA,tole,female
315,hera,9/15/19,NA,tole,female
316,hera,9/21/19,NA,tole,female
317,hera,9/22/19,NA,tole,female
318,hera,9/28/19,NA,tole,female
319,hera,9/29/19,NA,tole,female
320,hera,10/5/19,NA,tole,female
321,hera,10/6/19,NA,tole,female
322,hera,10/12/19,NA,tole,female
323,hera,10/13/19,NA,tole,female
399,hilga,6/15/16,2/5/16,captive,female
400,hilga,6/16/16,2/5/16,captive,female
326,houdini,11/18/14,9/6/13,zoo,male
327,houdini,1/13/15,9/6/13,zoo,male
328,houdini,1/14/15,9/6/13,zoo,male
6,hulk,3/3/16,NA,tole,male
7,hulk,3/4/16,NA,tole,male
329,irma,8/17/19,NA,lake.bayano,female
330,irma,8/18/19,NA,lake.bayano,female
331,irma,8/24/19,NA,lake.bayano,female
332,irma,8/25/19,NA,lake.bayano,female
333,irma,8/31/19,NA,lake.bayano,female
334,irma,9/1/19,NA,lake.bayano,female
335,irma,9/8/19,NA,lake.bayano,female
336,irma,9/9/19,NA,lake.bayano,female
337,irma,9/15/19,NA,lake.bayano,female
338,irma,9/16/19,NA,lake.bayano,female
339,irma,9/22/19,NA,lake.bayano,female
340,irma,9/23/19,NA,lake.bayano,female
341,irma,9/29/19,NA,lake.bayano,female
342,irma,9/30/19,NA,lake.bayano,female
343,irma,10/6/19,NA,lake.bayano,female
344,irma,10/7/19,NA,lake.bayano,female
345,irma,10/13/19,NA,lake.bayano,female
346,irma,10/14/19,NA,lake.bayano,female
761,iron-man,3/8/16,NA,tole,male
762,iron-man,3/9/16,NA,tole,male
347,ivy,9/13/16,NA,las.pavas,female
205,ivy,11/14/16,NA,las.pavas,female
206,ivy,11/15/16,NA,las.pavas,female
348,ivy,8/16/17,NA,las.pavas,female
349,ivy,8/17/17,NA,las.pavas,female
350,jenna-bat,3/27/16,NA,gamboa,male
351,jenna-bat,3/28/16,NA,gamboa,male
352,jupiter,8/19/19,NA,lake.bayano,female
353,jupiter,8/20/19,NA,lake.bayano,female
354,jupiter,8/26/19,NA,lake.bayano,female
355,jupiter,8/27/19,NA,lake.bayano,female
356,jupiter,9/3/19,NA,lake.bayano,female
357,jupiter,9/4/19,NA,lake.bayano,female
358,jupiter,9/10/19,NA,lake.bayano,female
359,jupiter,9/11/19,NA,lake.bayano,female
360,jupiter,9/17/19,NA,lake.bayano,female
361,jupiter,9/18/19,NA,lake.bayano,female
362,jupiter,9/24/19,NA,lake.bayano,female
363,jupiter,9/25/19,NA,lake.bayano,female
364,jupiter,10/1/19,NA,lake.bayano,female
365,jupiter,10/2/19,NA,lake.bayano,female
366,jupiter,10/8/19,NA,lake.bayano,female
367,jupiter,10/9/19,NA,lake.bayano,female
382,kelly,7/6/19,NA,lake.bayano,female
383,kelly,7/13/19,NA,lake.bayano,female
384,kelly,8/4/19,NA,lake.bayano,female
385,kelly,8/5/19,NA,lake.bayano,female
386,kelly,8/11/19,NA,lake.bayano,female
368,kelly,8/18/19,NA,lake.bayano,female
369,kelly,8/19/19,NA,lake.bayano,female
370,kelly,8/25/19,NA,lake.bayano,female
371,kelly,8/26/19,NA,lake.bayano,female
372,kelly,9/9/19,NA,lake.bayano,female
373,kelly,9/10/19,NA,lake.bayano,female
374,kelly,9/16/19,NA,lake.bayano,female
375,kelly,9/17/19,NA,lake.bayano,female
376,kelly,9/23/19,NA,lake.bayano,female
377,kelly,9/24/19,NA,lake.bayano,female
378,kelly,9/30/19,NA,lake.bayano,female
379,kelly,10/1/19,NA,lake.bayano,female
380,kelly,10/7/19,NA,lake.bayano,female
381,kelly,10/8/19,NA,lake.bayano,female
448,ldc,7/5/16,3/6/16,captive,male
449,ldc,7/6/16,3/6/16,captive,male
450,lds,7/6/16,4/15/16,captive,female
390,lds,11/10/16,4/15/16,captive,female
391,lds,11/11/16,4/15/16,captive,female
392,lds,8/12/17,4/15/16,captive,female
393,lds,8/26/17,4/15/16,captive,female
394,lds,8/27/17,4/15/16,captive,female
395,lds,10/20/18,4/15/16,captive,female
396,lilith,7/9/19,NA,lake.bayano,female
217,lily,2/12/13,9/23/11,zoo,female
218,lily,2/13/13,9/23/11,zoo,female
219,lily,2/25/13,9/23/11,zoo,female
220,lily,2/26/13,9/23/11,zoo,female
221,lily,3/20/14,9/23/11,zoo,female
222,lily,3/21/14,9/23/11,zoo,female
223,lily,4/26/14,9/23/11,zoo,female
412,lilyson,11/23/14,1/31/14,zoo,male
413,lilyson,1/17/15,1/31/14,zoo,male
451,lsd,7/6/16,4/15/16,captive,female
397,lsd,11/5/16,4/15/16,captive,female
398,lsd,11/6/16,4/15/16,captive,female
401,lucy,8/17/11,7/15/06,zoo,female
402,lucy,8/18/11,7/15/06,zoo,female
403,lucy,8/25/11,7/15/06,zoo,female
404,lucy,8/26/11,7/15/06,zoo,female
405,lucy,9/30/11,7/15/06,zoo,female
406,lucy,10/4/11,7/15/06,zoo,female
407,lucy,11/1/11,7/15/06,zoo,female
408,lucy,2/10/13,7/15/06,zoo,female
409,lucy,2/11/13,7/15/06,zoo,female
410,lucy,2/26/13,7/15/06,zoo,female
411,lucy,2/27/13,7/15/06,zoo,female
387,lucyson,11/19/14,6/28/13,zoo,male
388,lucyson,1/17/15,6/28/13,zoo,male
389,lucyson,1/18/15,6/28/13,zoo,male
418,mabel,7/7/19,NA,tole,female
419,mabel,7/14/19,NA,tole,female
420,mabel,8/8/19,NA,tole,female
414,mabel,8/18/19,NA,tole,female
415,mabel,8/19/19,NA,tole,female
416,mabel,8/25/19,NA,tole,female
417,mabel,8/26/19,NA,tole,female
421,marce,3/12/14,4/13/13,zoo,female
422,marce,3/13/14,4/13/13,zoo,female
423,marce,3/17/14,4/13/13,zoo,female
424,marce,3/18/14,4/13/13,zoo,female
425,marce,4/6/14,4/13/13,zoo,female
426,marce,4/7/14,4/13/13,zoo,female
427,marce,1/6/15,4/13/13,zoo,female
428,marce,1/7/15,4/13/13,zoo,female
429,maribelo,11/22/14,6/1/09,zoo,male
430,maribelo,1/18/15,6/1/09,zoo,male
431,maribelo,1/19/15,6/1/09,zoo,male
432,mina,3/14/14,1/30/05,zoo,female
433,mina,3/15/14,1/30/05,zoo,female
434,mina,5/3/14,1/30/05,zoo,female
435,mina,1/3/15,1/30/05,zoo,female
436,mina,1/4/15,1/30/05,zoo,female
437,mya,8/15/11,1/1/96,zoo,female
438,mya,8/16/11,1/1/96,zoo,female
439,mya,8/26/11,1/1/96,zoo,female
440,mya,8/27/11,1/1/96,zoo,female
441,mya,9/22/11,1/1/96,zoo,female
442,mya,2/6/13,1/1/96,zoo,female
443,mya,2/16/13,1/1/96,zoo,female
444,mya,2/17/13,1/1/96,zoo,female
445,mya,3/11/14,1/1/96,zoo,female
446,mya,3/12/14,1/1/96,zoo,female
447,NA,11/18/14,NA,NA,NA
452,no-band,8/7/17,11/22/16,captive,female
453,ola,9/13/16,NA,las.pavas,female
454,ola,9/14/16,NA,las.pavas,female
455,ola,8/15/17,NA,las.pavas,female
456,ola,8/16/17,NA,las.pavas,female
457,ola,8/29/17,NA,las.pavas,female
458,ola,8/30/17,NA,las.pavas,female
475,opal,7/6/19,NA,chorrera,female
476,opal,7/13/19,NA,chorrera,female
459,opal,8/18/19,NA,chorrera,female
460,opal,8/19/19,NA,chorrera,female
461,opal,8/25/19,NA,chorrera,female
462,opal,8/26/19,NA,chorrera,female
463,opal,9/2/19,NA,chorrera,female
464,opal,9/3/19,NA,chorrera,female
465,opal,9/9/19,NA,chorrera,female
466,opal,9/10/19,NA,chorrera,female
467,opal,9/16/19,NA,chorrera,female
468,opal,9/17/19,NA,chorrera,female
469,opal,9/23/19,NA,chorrera,female
470,opal,9/24/19,NA,chorrera,female
471,opal,9/30/19,NA,chorrera,female
472,opal,10/1/19,NA,chorrera,female
473,opal,10/7/19,NA,chorrera,female
474,opal,10/8/19,NA,chorrera,female
493,piper,8/6/19,NA,chorrera,female
494,piper,8/7/19,NA,chorrera,female
477,piper,8/20/19,NA,chorrera,female
478,piper,8/21/19,NA,chorrera,female
479,piper,8/27/19,NA,chorrera,female
480,piper,8/28/19,NA,chorrera,female
481,piper,9/4/19,NA,chorrera,female
482,piper,9/5/19,NA,chorrera,female
483,piper,9/11/19,NA,chorrera,female
484,piper,9/12/19,NA,chorrera,female
485,piper,9/18/19,NA,chorrera,female
486,piper,9/19/19,NA,chorrera,female
487,piper,9/25/19,NA,chorrera,female
488,piper,9/26/19,NA,chorrera,female
489,piper,10/2/19,NA,chorrera,female
490,piper,10/3/19,NA,chorrera,female
491,piper,10/9/19,NA,chorrera,female
492,piper,10/10/19,NA,chorrera,female
495,pixus,11/20/14,6/28/12,zoo,male
518,queen,7/11/19,NA,lake.bayano,female
519,queen,7/12/19,NA,lake.bayano,female
520,queen,7/27/19,NA,lake.bayano,female
521,queen,8/3/19,NA,lake.bayano,female
500,queen,8/16/19,NA,lake.bayano,female
501,queen,8/17/19,NA,lake.bayano,female
502,queen,8/23/19,NA,lake.bayano,female
503,queen,8/24/19,NA,lake.bayano,female
504,queen,8/30/19,NA,lake.bayano,female
505,queen,8/31/19,NA,lake.bayano,female
506,queen,9/7/19,NA,lake.bayano,female
507,queen,9/8/19,NA,lake.bayano,female
508,queen,9/14/19,NA,lake.bayano,female
509,queen,9/15/19,NA,lake.bayano,female
510,queen,9/21/19,NA,lake.bayano,female
511,queen,9/22/19,NA,lake.bayano,female
512,queen,9/28/19,NA,lake.bayano,female
513,queen,9/29/19,NA,lake.bayano,female
514,queen,10/5/19,NA,lake.bayano,female
515,queen,10/6/19,NA,lake.bayano,female
516,queen,10/12/19,NA,lake.bayano,female
517,queen,10/13/19,NA,lake.bayano,female
532,r,3/21/16,NA,tole,female
533,r,3/22/16,NA,tole,female
534,r,4/8/16,NA,tole,female
535,r,4/9/16,NA,tole,female
522,r,11/9/16,NA,tole,female
523,r,11/10/16,NA,tole,female
526,rc,4/2/16,NA,tole,female
527,rc,4/3/16,NA,tole,female
528,rc,4/20/16,NA,tole,female
529,rc,4/21/16,NA,tole,female
530,rc,5/22/16,NA,tole,female
531,rc,5/23/16,NA,tole,female
524,rc,11/16/16,NA,tole,female
525,rc,11/17/16,NA,tole,female
554,rina,7/9/19,NA,chorrera,female
555,rina,7/24/19,NA,chorrera,female
536,rina,8/14/19,NA,chorrera,female
537,rina,8/15/19,NA,chorrera,female
538,rina,8/21/19,NA,chorrera,female
539,rina,8/22/19,NA,chorrera,female
540,rina,8/28/19,NA,chorrera,female
541,rina,8/29/19,NA,chorrera,female
542,rina,9/5/19,NA,chorrera,female
543,rina,9/6/19,NA,chorrera,female
544,rina,9/12/19,NA,chorrera,female
545,rina,9/13/19,NA,chorrera,female
546,rina,9/19/19,NA,chorrera,female
547,rina,9/20/19,NA,chorrera,female
548,rina,9/26/19,NA,chorrera,female
549,rina,9/27/19,NA,chorrera,female
550,rina,10/3/19,NA,chorrera,female
551,rina,10/4/19,NA,chorrera,female
552,rina,10/10/19,NA,chorrera,female
553,rina,10/11/19,NA,chorrera,female
599,s,3/25/16,NA,tole,female
600,s,3/26/16,NA,tole,female
601,s,4/15/16,NA,tole,female
602,s,4/16/16,NA,tole,female
603,s,5/18/16,NA,tole,female
604,s,5/19/16,NA,tole,female
556,sam1,8/20/17,NA,chilibre,female
557,sam2,8/16/17,NA,chilibre,NA
558,sam5,8/23/17,NA,chilibre,NA
559,sam6,8/25/17,NA,chilibre,NA
560,sam7,8/27/17,NA,chilibre,male
567,sc,3/10/16,NA,tole,female
568,sc,4/5/16,NA,tole,female
569,sc,4/6/16,NA,tole,female
570,sc,5/11/16,NA,tole,female
571,sc,6/11/16,NA,tole,female
572,sc,6/12/16,NA,tole,female
561,scc,3/18/16,NA,tole,female
562,scc,3/19/16,NA,tole,female
563,scc,4/9/16,NA,tole,female
564,scc,4/10/16,NA,tole,female
565,scc,5/15/16,NA,tole,female
566,scc,5/16/16,NA,tole,female
590,scs,3/23/16,NA,tole,female
591,scs,3/24/16,NA,tole,female
185,scs,4/13/16,NA,tole,female
186,scs,4/14/16,NA,tole,female
187,scs,5/21/16,NA,tole,female
188,scs,5/22/16,NA,tole,female
575,scs,11/7/16,NA,tole,female
576,scs,11/8/16,NA,tole,female
577,scs,8/8/17,NA,tole,female
578,scs,7/12/19,NA,tole,female
579,scs,7/13/19,NA,tole,female
580,scs,7/22/19,NA,tole,female
581,scs,7/23/19,NA,tole,female
582,scs,8/14/19,NA,tole,female
583,scs,8/15/19,NA,tole,female
584,scs,9/19/19,NA,tole,female
585,scs,9/20/19,NA,tole,female
586,scs,9/26/19,NA,tole,female
587,scs,9/27/19,NA,tole,female
588,scs,10/3/19,NA,tole,female
589,scs,10/4/19,NA,tole,female
112,scs,10/10/19,NA,tole,female
113,scs,10/11/19,NA,tole,female
592,sd,3/28/16,NA,tole,female
593,sd,3/29/16,NA,tole,female
594,sd,4/6/16,NA,tole,female
595,sd,4/7/16,NA,tole,female
596,sd,5/13/16,NA,tole,female
623,shania,7/10/19,NA,lake.bayano,female
624,shania,8/2/19,NA,lake.bayano,female
605,shania,8/15/19,NA,lake.bayano,female
606,shania,8/16/19,NA,lake.bayano,female
607,shania,8/22/19,NA,lake.bayano,female
608,shania,8/23/19,NA,lake.bayano,female
609,shania,8/29/19,NA,lake.bayano,female
610,shania,8/30/19,NA,lake.bayano,female
611,shania,9/6/19,NA,lake.bayano,female
612,shania,9/7/19,NA,lake.bayano,female
613,shania,9/13/19,NA,lake.bayano,female
614,shania,9/14/19,NA,lake.bayano,female
615,shania,9/20/19,NA,lake.bayano,female
616,shania,9/21/19,NA,lake.bayano,female
617,shania,9/27/19,NA,lake.bayano,female
618,shania,9/28/19,NA,lake.bayano,female
619,shania,10/4/19,NA,lake.bayano,female
620,shania,10/5/19,NA,lake.bayano,female
621,shania,10/11/19,NA,lake.bayano,female
622,shania,10/12/19,NA,lake.bayano,female
625,sheldon,2/28/13,12/11/12,zoo,male
626,sheldon,4/10/14,12/11/12,zoo,male
627,sheldon,1/12/15,12/11/12,zoo,male
628,six,9/14/16,NA,las.pavas,female
629,six,11/12/16,NA,las.pavas,female
630,six,11/13/16,NA,las.pavas,female
631,snow,3/21/14,5/31/13,zoo,female
632,snow,3/22/14,5/31/13,zoo,female
633,snow,4/5/14,5/31/13,zoo,female
634,snow,4/6/14,5/31/13,zoo,female
635,snow,1/5/15,5/31/13,zoo,female
213,son-of-ola,11/13/16,6/28/16,captive,male
214,son-of-ola,11/14/16,6/28/16,captive,male
636,son-of-ola,8/17/17,6/28/16,captive,male
637,son-of-ola,8/18/17,6/28/16,captive,male
638,sonofzaria,11/21/14,9/2/14,zoo,male
639,sonofzaria,1/15/15,9/2/14,zoo,male
640,speedster,2/20/13,5/10/11,zoo,male
641,speedster,2/21/13,5/10/11,zoo,male
133,spiderman,3/10/16,NA,tole,male
134,spiderman,3/11/16,NA,tole,male
